epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.07724,0.4439,3.25591,1.0244,0.00333,1,0.07349,0.03544,0.26538,3.50638,0.8468,0,0,0
2,8.72056,0.86515,3.8297,1.18659,0.00333,1,0.07563,0.03833,0.26071,3.50193,0.84673,1.604e-05,1.604e-05,1.604e-05
3,12.5057,0.35259,2.67291,0.82913,0.00333,1,0.10133,0.0536,0.25323,3.49424,0.84455,2.416e-05,2.416e-05,2.416e-05
4,16.1529,0.22503,4.21696,1.06205,0.00333,1,0.10826,0.06342,0.25174,3.48708,0.8426,2.436e-05,2.436e-05,2.436e-05
5,19.7204,0.40639,2.9351,1.02154,0.00333,1,0.18698,0.09037,0.24461,3.48657,0.84134,1.664e-05,1.664e-05,1.664e-05
