epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2943,1.15667,4.88926,1.1431,0.00333,1,0.00533,0.00268,0.82277,4.36156,0.9153,6e-05,6e-05,6e-05
2,5.97429,1.26458,4.58358,1.21994,1,0.9992,0.995,0.57713,1.18696,1.51744,1.04653,0.000138614,0.000138614,0.000138614
3,8.86821,0.87536,1.70145,0.96615,0.98987,1,0.995,0.87731,0.418,1.65208,0.77702,0.000215644,0.000215644,0.000215644
4,11.7561,0.73697,1.18186,0.90891,0.98859,1,0.995,0.91503,0.35571,1.09647,0.75666,0.00029109,0.00029109,0.00029109
5,14.7699,0.81956,1.06527,0.92814,0.47789,1,0.695,0.58978,0.56295,4.19085,0.7752,0.000364952,0.000364952,0.000364952
6,17.5216,0.7966,0.98787,0.93694,0.32004,1,0.995,0.8811,0.53736,10.2601,0.78116,0.00043723,0.00043723,0.00043723
7,20.2938,0.74661,1.10449,0.90971,0.90941,1,0.995,0.87553,0.63961,5.08495,0.81488,0.000507924,0.000507924,0.000507924
8,23.1733,0.75018,0.94079,0.95232,0.98141,1,0.995,0.9004,0.48574,1.81899,0.79875,0.000577034,0.000577034,0.000577034
9,25.979,0.73624,1.0355,0.94974,0.98532,1,0.995,0.91134,0.54232,1.4477,0.8345,0.00064456,0.00064456,0.00064456
10,28.7242,0.64912,0.86174,0.88693,0.96786,1,0.995,0.94017,0.44351,2.78567,0.77695,0.000710502,0.000710502,0.000710502
11,31.5269,0.69288,0.74496,0.92989,0.13009,1,0.995,0.90203,0.54265,17.807,0.83647,0.00077486,0.00077486,0.00077486
12,34.311,0.75814,0.69904,0.94714,0.17193,1,0.995,0.97504,0.50094,6.61556,0.81673,0.000837634,0.000837634,0.000837634
13,37.1754,0.66487,0.60742,0.91166,1,0.4,0.995,0.86353,0.46345,10.6978,0.79323,0.000898824,0.000898824,0.000898824
14,40.0566,0.65692,0.52613,0.88249,0.9842,1,0.995,0.8955,0.4917,1.48993,0.79885,0.00095843,0.00095843,0.00095843
15,42.9465,0.71,0.57156,0.91807,0.99061,1,0.995,0.94021,0.48475,0.66623,0.80406,0.00101645,0.00101645,0.00101645
16,45.8276,0.69882,0.59436,0.94507,0.98961,1,0.995,0.96306,0.43291,0.70003,0.79694,0.00107289,0.00107289,0.00107289
17,48.6407,0.65999,0.52533,0.9048,0.99054,1,0.995,0.89516,0.51789,0.58153,0.79672,0.00112774,0.00112774,0.00112774
18,51.5436,0.71488,0.53011,0.88746,0.99046,1,0.995,0.94521,0.40824,0.58382,0.7801,0.00118101,0.00118101,0.00118101
19,54.3669,0.68543,0.5145,0.91701,0.99011,1,0.995,0.90217,0.43703,0.46863,0.80485,0.0012327,0.0012327,0.0012327
20,57.2079,0.64895,0.50123,0.87433,0.99109,1,0.995,0.93151,0.42163,0.504,0.79189,0.0012828,0.0012828,0.0012828
21,60.2445,0.63186,0.48949,0.89912,0.97348,1,0.995,0.90056,0.53607,0.53995,0.82626,0.00133132,0.00133132,0.00133132
22,63.1243,0.73502,0.52021,0.89835,0.98213,1,0.995,0.9552,0.48762,0.54437,0.81803,0.00137825,0.00137825,0.00137825
23,66.0014,0.6858,0.514,0.9121,0.98664,1,0.995,0.8955,0.47718,0.49277,0.81857,0.0014236,0.0014236,0.0014236
24,68.9385,0.67992,0.52525,0.88955,0.98472,1,0.995,0.83465,0.67541,0.58147,0.89593,0.00146737,0.00146737,0.00146737
25,71.9732,0.73659,0.48876,0.90703,0.98317,1,0.995,0.82575,0.68208,0.70745,0.92295,0.00150955,0.00150955,0.00150955
26,74.9448,0.70618,0.53726,0.93501,0.98431,1,0.995,0.7999,0.68708,0.53785,0.89399,0.001505,0.001505,0.001505
27,77.8263,0.69167,0.52219,0.91148,0.98645,1,0.995,0.8955,0.54548,0.44918,0.8224,0.0014852,0.0014852,0.0014852
28,80.7882,0.63486,0.50582,0.8932,0.98802,1,0.995,0.90557,0.50501,0.40318,0.81061,0.0014654,0.0014654,0.0014654
29,83.7971,0.61963,0.50013,0.85992,0.97789,1,0.995,0.9004,0.48619,0.81039,0.80913,0.0014456,0.0014456,0.0014456
30,86.6895,0.6714,0.46854,0.87964,0.95377,1,0.995,0.8955,0.43257,2.25398,0.79346,0.0014258,0.0014258,0.0014258
31,89.6858,0.65069,0.53931,0.9234,0.9508,1,0.995,0.90546,0.48976,0.68516,0.82566,0.001406,0.001406,0.001406
32,92.5965,0.64782,0.48763,0.86665,0.97807,1,0.995,0.85953,0.54295,0.59853,0.85592,0.0013862,0.0013862,0.0013862
33,95.6045,0.67339,0.48674,0.91982,0.98923,1,0.995,0.85986,0.56558,0.48118,0.85751,0.0013664,0.0013664,0.0013664
34,98.5761,0.57089,0.4806,0.87483,0.99118,1,0.995,0.8955,0.53648,0.31372,0.83069,0.0013466,0.0013466,0.0013466
35,101.54,0.58695,0.48897,0.87475,0.99103,1,0.995,0.87661,0.63649,0.36509,0.83376,0.0013268,0.0013268,0.0013268
36,104.529,0.59764,0.44418,0.86744,0.99018,1,0.995,0.83549,0.67387,0.44814,0.85149,0.001307,0.001307,0.001307
37,107.497,0.60846,0.45833,0.87501,0.98647,1,0.995,0.8955,0.60959,0.56965,0.83126,0.0012872,0.0012872,0.0012872
38,110.515,0.65146,0.45021,0.89113,0.97865,1,0.995,0.90563,0.53602,0.60551,0.80675,0.0012674,0.0012674,0.0012674
39,113.509,0.60385,0.44833,0.86247,0.98219,1,0.995,0.93172,0.4286,0.54895,0.77133,0.0012476,0.0012476,0.0012476
40,116.519,0.52571,0.41318,0.83998,0.98761,1,0.995,0.9008,0.48588,0.43346,0.77518,0.0012278,0.0012278,0.0012278
41,119.449,0.73265,0.48271,0.90788,0.98992,1,0.995,0.90087,0.44963,0.39645,0.76666,0.001208,0.001208,0.001208
42,122.446,0.65111,0.4562,0.901,0.99008,1,0.995,0.94603,0.37225,0.32317,0.75866,0.0011882,0.0011882,0.0011882
43,125.443,0.5191,0.4091,0.87275,0.99084,1,0.995,0.9461,0.34989,0.27696,0.76179,0.0011684,0.0011684,0.0011684
44,128.478,0.5794,0.44066,0.87971,0.99079,1,0.995,0.9125,0.37539,0.26864,0.77514,0.0011486,0.0011486,0.0011486
