epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,104.261,0.62304,0.48054,0.90568,0.97962,1,0.995,0.91167,0.4762,0.38924,0.77813,0.0011486,0.0011486,0.0011486
45,106.333,0.50921,0.37758,0.85756,0.98336,1,0.995,0.93236,0.40759,0.29904,0.76154,0.0011288,0.0011288,0.0011288
46,108.535,0.54472,0.49848,0.88597,0.99081,1,0.995,0.97217,0.35171,0.2587,0.75988,0.001109,0.001109,0.001109
47,110.653,0.57196,0.41338,0.89399,0.991,1,0.995,0.93442,0.38013,0.24621,0.7562,0.0010892,0.0010892,0.0010892
48,112.838,0.51985,0.39437,0.83958,0.99074,1,0.995,0.91432,0.41317,0.2352,0.75544,0.0010694,0.0010694,0.0010694
49,114.978,0.52449,0.43093,0.89069,0.9909,1,0.995,0.95096,0.32633,0.24052,0.75069,0.0010496,0.0010496,0.0010496
50,117.215,0.57551,0.38555,0.85247,0.98944,1,0.995,0.97552,0.33068,0.28877,0.75359,0.0010298,0.0010298,0.0010298
51,119.493,0.5932,0.4275,0.89122,0.98714,1,0.995,0.995,0.37658,0.35765,0.75279,0.00101,0.00101,0.00101
52,121.745,0.52992,0.41653,0.87987,0.99065,1,0.995,0.97537,0.42311,0.35465,0.7554,0.0009902,0.0009902,0.0009902
53,123.905,0.48461,0.38698,0.88128,0.99063,1,0.995,0.95562,0.38176,0.28642,0.75284,0.0009704,0.0009704,0.0009704
54,126.095,0.53259,0.41231,0.88212,0.98986,1,0.995,0.95072,0.35366,0.25402,0.75111,0.0009506,0.0009506,0.0009506
55,128.367,0.48555,0.36894,0.86935,0.99064,1,0.995,0.93627,0.3265,0.23818,0.74749,0.0009308,0.0009308,0.0009308
56,130.502,0.53745,0.40504,0.88598,0.99022,1,0.995,0.95671,0.31266,0.24166,0.74594,0.000911,0.000911,0.000911
57,132.604,0.50748,0.38841,0.86122,0.98969,1,0.995,0.97224,0.32777,0.23607,0.7503,0.0008912,0.0008912,0.0008912
